Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
17/01/2020,"MOVIDDY, NEWCASTLE WEST, LIMERICK",,Limerick,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"NEWTOWN, COAST ROAD, TRAMORE",,Waterford,"�540,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"NOHOVAL, BELGOOLY, CORK",,Cork,"�200,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"No. 16 Orchid Grove, Abbey Fort, Kinsale",,Cork,"�182,550.73",Yes,Yes,New Dwelling house /Apartment,
17/01/2020,"No. 22 Aster Lawn, Abbey Fort, Kinsale",,Cork,"�214,039.20",Yes,Yes,New Dwelling house /Apartment,
17/01/2020,"No. 28 Orchid Grove, Abbey Fort, Kinsale",,Cork,"�214,039.20",Yes,Yes,New Dwelling house /Apartment,
17/01/2020,"NO.1 MOUNT STREET CRESCENT, DUBLIN 2",Dublin 2,Dublin,"�450,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"OWNAGARRY, KILLORGLIN, KERRY",,Kerry,"�350,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"PARKE, KILGLASS, INNISCRONE",,Sligo,"�63,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"POPPYHILL, KILLORAN, BALLINASLOE",,Galway,"�40,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"PRIORSTOWN, KILSHEELAN, CO TIPPERARY",,Tipperary,"�91,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"RAHALE, OYLEGATE, ENNISCORTHY",,Wexford,"�165,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ROGERSTOWN, CHURCHTOWN, ARDEE",,Louth,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"SANDY LANE, BLACKROCK, LOUTH",,Louth,"�600,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"TAVRAUN, KILKELLY, MAYO",,Mayo,"�145,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"THOMASTOWN LEVEL CROSSING, KILLUCAN, CO WESTMEATH",,Westmeath,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"TOMONA, KILTEALY, WEXFORD",,Wexford,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"Unit 13 Oak Park Avenue, Oak Park, Craddockstown",,Kildare,"�286,343.61",No,Yes,New Dwelling house /Apartment,
17/01/2020,"WELLSWOOD, OLD PALLAS, PALLASGREEN",,Limerick,"�195,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"WEST END, CASTLETOWNBERE, CORK",,Cork,"�153,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2020,"92 SLIABH CARRAN ENNIS RD GORT, GALWAY",,Galway,"�165,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2020,"51 HAWTHORN HEIGHTS, LETTERKENNY, COUNTY DONEGAL",,Donegal,"�80,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2020,"BALLYFOLEY, CAMOLIN, WEXFORD",,Wexford,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2020,"BOHADOON NORTH, DUNGARVAN, WATERFORD",,Waterford,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"1 Churchfield Close, Killegland, Ashbourne",,Meath,"�348,017.61",No,Yes,New Dwelling house /Apartment,
20/01/2020,"1 CLUAIN ARD, ARDNACASSA, LONGFORD",,Longford,"�50,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"1 Hollywoodrath Drive, Hollywoodrath, Hollystown",Dublin 15,Dublin,"�403,524.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"1 KINNALARGY, DOWNINGS, COUNTY DONEGAL",,Donegal,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"1 STRAFFAN LAWN, STRAFFAN WOOD, MAYNOOTH",,Kildare,"�200,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"10 COIS LAOI, BALLYVELLY, TRALEE",,Kerry,"�226,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"10 LIOSCARA LAWN, KILLEENS, CORK",,Cork,"�285,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"10 MOYVALE LAWN, SLIGO RD, BALLINA",,Mayo,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"10 SLI BURCA, BALLYMONEEN RD, GALWAY",,Galway,"�185,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"118 ROSEWOOD EST, BALLINCOLLIG, CORK",,Cork,"�292,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"123 THE LIGHTHOUSE, CHURCH RD, EAST WALL DUBLIN 3",Dublin 3,Dublin,"�340,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"13 ESTUARY VIEW, CROSSTOWN",,Wexford,"�299,559.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"13 OAK RD, DONNYCARNEY, DUBLIN 9",Dublin 9,Dublin,"�140,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"13 WALNUT LAWN, COURTLANDS, GRIFFITH AVE DUBLIN 9",Dublin 9,Dublin,"�610,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"14 GANDON HALL, GARDINER ST, DUBLIN 1",Dublin 1,Dublin,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"14 RICHMOND HALL, MOUNT ST.  ANNES, MILLTOWN",Dublin 6,Dublin,"�390,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"15 Hollywoodrath Grove, Hollywoodrath, Hollystown",,Dublin,"�352,423.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"16 Meadowbank Lane, Millers Glen, Swords",,Dublin,"�320,594.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"16 ST BRIGIDS ROAD, OFF CATHEDRAL ROAD, CORK CITY",,Cork,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"16 THE WILLOWS, FOREST PARK, PORTLAOISE",,Laois,"�190,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"17 BELARMINE PLACE, STEPASIDE, DUBLIN 18",Dublin 18,Dublin,"�392,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"17 LAKE PL, KILMINCHY, PORTLAOISE",,Laois,"�139,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"17 SARTO PARK, NAAS, CO KILDARE",,Kildare,"�206,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"18 DERRYOLAM COURT, CARRICKMACROSS, MONAGHAN",,Monaghan,"�206,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"19 BARROW WAY, ATHY, KILDARE",,Kildare,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 ABBOTSWOOD MEWS, MONASTERY RD, ROCHESTOWN",,Cork,"�285,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 AN MHAINISTIR, FENAGH, CO. LEITRIM",,Donegal,"�60,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 BEARMINE CLOSE, STEPASIDE, DUBLIN 18",Dublin 18,Dublin,"�488,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 BREACHACH, BIRR RD, CLOGHAN",,Offaly,"�155,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 GLENBEIGH RD, BLACKHORSE AVE, DUBLIN 7",Dublin 7,Dublin,"�385,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 PALACE CRESCENT, ARDNACASSAGH, LONGFORD",,Longford,"�50,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 PRINT HOUSE, MARKET YARD, SLIGO",,Sligo,"�90,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"2 THE PADDOCKS, HYBREASAL, KILMAINHAM",Dublin 8,Dublin,"�520,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"20 PREMIER SQ, FINGLAS RD, DUBLIN 11",Dublin 11,Dublin,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"20 Sycamore Hall, Clay Farm, Leopardstown",Dublin 18,Dublin,"�370,004.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"205 AN RI RUA BETTYSTOWN, BETTYSTOWN, MEATH",,Meath,"�80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"21 Hallwell Lane, Hallwell, Adamstown",,Dublin,"�317,180.61",No,Yes,New Dwelling house /Apartment,
20/01/2020,"21 The Grove, St. Marnock's Bay, Station Road",,Dublin,"�312,775.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"22 RIVERSIDE DR, COOLOCK, DUBLIN 17",Dublin 17,Dublin,"�347,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"220 The Grange, Baunacloka, Raheen",,Limerick,"�308,370.04",No,Yes,New Dwelling house /Apartment,
20/01/2020,"23 RYLAND WOOD, BUNCLODY, WEXFORD",,Wexford,"�252,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"24 BELCLARE CRESCENT, POPPINTREE, BALLYMUN",Dublin 11,Dublin,"�210,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"25 REUBENS SQUARE APTS, REUBEN ST, DUBLIN 8",Dublin 8,Dublin,"�217,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"26 WIERVIEW DR, STILLORGAN, DUBLIN",,Dublin,"�670,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"27 ASCAL A TRI YELLOWBATTER, DROGHEDA CO LOUTH",,Louth,"�122,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"28 BROMLEY COURT, GLEBEMOUNT, WICKLOW TOWN",,Wicklow,"�396,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"28 MARLMOUNT WALK, DUNDALK",,Louth,"�255,507.00",No,Yes,New Dwelling house /Apartment,
20/01/2020,"29 RIVERSIDE PARK, CLONMANY, DONEGAL",,Donegal,"�100,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"29 STONEYFORD PARK, DELVIN, COUNTY WESTMEATH",,Westmeath,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"29B BELL HARBOUR, MONASTEREVIN, CO KILDARE",,Kildare,"�142,500.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"3 COLEMANS COURT, SHRULE, CO MAYO",,Mayo,"�145,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"3 Lakelands Gardens, Crawford Gate, Blackrock",,Cork,"�281,938.32",No,Yes,New Dwelling house /Apartment,
20/01/2020,"3 LISSEN HALL AVE, SWORDS, DUBLIN",,Dublin,"�320,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"3 MIDLAND COURT APPARTMENTS, GRAFTON COURT, LONGFORD TOWN",,Longford,"�56,000.00",No,No,Second-Hand Dwelling house /Apartment,
